City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,husavik,66.0449,-17.3389,-3.93,66,63,5.48,IS,1675811394
1,barrow,71.2906,-156.7887,-16.99,71,100,3.6,US,1675811395
2,castro,-24.7911,-50.0119,18.11,92,11,2.51,BR,1675811395
3,dafeng,23.4517,108.5881,14.9,98,100,1.64,CN,1675811396
4,shitanjing,39.2342,106.3439,-3.13,46,100,2.98,CN,1675811396
5,bredasdorp,-34.5322,20.0403,19.44,74,90,4.01,ZA,1675811396
6,angoche,-16.2325,39.9086,25.12,86,100,3.3,MZ,1675811397
7,hobart,-42.8794,147.3294,16.14,60,75,4.63,AU,1675811397
8,mataura,-46.1927,168.8643,8.6,70,75,4.82,NZ,1675811397
9,east london,-33.0153,27.9116,21.81,86,100,4.86,ZA,1675811398
10,vardo,70.3705,31.1107,-0.01,86,41,10.29,NO,1675811398
11,sept-iles,50.2001,-66.3821,-7.19,88,75,6.17,CA,1675811229
12,busselton,-33.65,115.3333,18.34,77,29,4.2,AU,1675811399
13,sakakah,29.9697,40.2064,8.76,63,3,4.58,SA,1675811191
14,rikitea,-23.1203,-134.9692,26.03,73,83,5.23,PF,1675811399
15,soe,-9.8607,124.284,20.97,86,42,1.02,ID,1675811399
16,monte alegre,-2.0078,-54.0692,24.53,91,56,1.12,BR,1675811400
17,port alfred,-33.5906,26.891,20.66,93,100,0.45,ZA,1675811400
18,ballina,-28.8667,153.5667,23.9,86,100,2.86,AU,1675811401
19,luziania,-16.2525,-47.9503,27.83,82,79,0.87,BR,1675811403
20,vanimo,-2.6741,141.3028,24.48,96,100,2.19,PG,1675811404
21,sao filipe,14.8961,-24.4956,20.48,64,3,5.67,CV,1675811406
22,saint-denis,48.9167,2.3333,2.3,80,0,3.09,FR,1675811355
23,port lincoln,-34.7333,135.8667,20.82,69,3,5.37,AU,1675811409
24,hithadhoo,-0.6,73.0833,27.23,70,68,3.82,MV,1675811225
25,staroutkinsk,57.2302,59.3348,-26.09,100,91,1.21,RU,1675811411
26,yellowknife,62.456,-114.3525,-14.4,92,100,4.07,CA,1675811412
27,kapaa,22.0752,-159.319,27.18,84,75,4.63,US,1675811413
28,arraial do cabo,-22.9661,-42.0278,24.04,89,88,0.23,BR,1675811413
29,ribeira grande,38.5167,-28.7,12.65,67,63,4.47,PT,1675811414
30,amethi,26.15,81.8167,13.7,69,0,3.56,IN,1675811227
31,santa maria,-29.6842,-53.8069,27.76,35,6,3.17,BR,1675811335
32,skibotn,69.3913,20.2679,-0.09,92,90,4.49,NO,1675811415
33,hasaki,35.7333,140.8333,8.22,75,100,10.09,JP,1675811419
34,chernyshevskiy,63.0128,112.4714,-33.59,98,100,0.43,RU,1675811424
35,harper,4.375,-7.7169,26.41,85,87,3.15,LR,1675811424
